"depth","Self","Total","Child","MPI","Overhead","Regions","Function"
"0","25.9%","25.9%","","","","","mfem::PAMassApply(int, int, int, int, mfem::Array<double"
"0","23.1%","23.9%","0.8%","","","","void mfem::hydrodynamics::QUpdateBody<2>(int, int, int, int, bool, bool, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, double*, double*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double*, double*)"
"0","13.6%","13.6%","","","","","mfem::ElementRestriction::MultTranspose(mfem::Vector const&, mfem::Vector&) const"
"0","12.8%","12.8%","","","","","mfem::ElementRestriction::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","5.8%","5.8%","","","","","mfem::add(mfem::Vector const&, double, mfem::Vector const&, mfem::Vector&)"
"0","3.6%","3.6%","","","","","mfem::Vector::operator*(mfem::Vector const&) const"
"0","3.0%","3.0%","","","","","mfem::D2QGrad(mfem::FiniteElementSpace const&, mfem::DofToQuad const*, mfem::Vector const&, mfem::Vector&)"
"0","1.7%","1.7%","","","","","void mfem::hydrodynamics::ForceMult2D<2, 3, 4, 2, 1>(int, mfem::Array<double"
"0","1.4%","1.4%","","","","","void mfem::hydrodynamics::ForceMultTranspose2D<2, 3, 4, 2, 1>(int, mfem::Array<double"
"0","1.3%","1.3%","","","","","memcpy"
"0","1.3%","1.3%","","1.3%","","","MPI_Allreduce"
"0","1.1%","2.8%","1.7%","","","","mfem::OperatorJacobiSmoother::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","0.8%","0.8%","","","","","mfem::Vector::operator=(double)"
"0","0.8%","0.8%","","","","","frexp"
"0","0.6%","0.6%","","","","","mfem::L2ElementRestriction::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","0.5%","65.4%","64.9%","1.3%","","","mfem::CGSolver::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","0.5%","24.3%","23.9%","","","","void mfem::hydrodynamics::QKernel<2, 4>(int, int, bool, bool, double, double, double, double, mfem::ParGridFunction const&, mfem::Array<double"
"0","0.5%","0.5%","","","","","mfem::Vector::Min() const"
"0","0.5%","0.5%","","","","","mfem::SparseMatrix::AddMult(mfem::Vector const&, mfem::Vector&, double) const"
"0","0.3%","0.3%","","","","","mfem::Vector::Add(double, mfem::Vector const&)"
"0","0.3%","0.3%","","","","","mfem::L2ElementRestriction::MultTranspose(mfem::Vector const&, mfem::Vector&) const"
"0","0.2%","0.2%","","","","","mfem::ConstrainedOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","0.2%","0.2%","","","","","mfem::subtract(mfem::Vector const&, mfem::Vector const&, mfem::Vector&)"
"0","0.2%","0.2%","","","","","mfem::D2QValues(mfem::FiniteElementSpace const&, mfem::DofToQuad const*, mfem::Vector const&, mfem::Vector&)"
"0","0.2%","0.2%","","0.2%","","","MPI_Finalize"
"0","<0.1%","100.0%","100.0%","1.4%","","","main"
"0","<0.1%","92.3%","92.3%","1.3%","","","mfem::RK4Solver::Step(mfem::Vector&, double&, double&)"
"0","<0.1%","91.6%","91.6%","1.3%","","","mfem::hydrodynamics::LagrangianHydroOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","87.5%","87.5%","1.1%","","","mfem::hydrodynamics::LagrangianHydroOperator::SolveVelocity(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","1.3%","1.3%","","","","mfem::Vector::operator=(mfem::Vector const&)"
"0","<0.1%","51.5%","51.5%","","","","mfem::hydrodynamics::MassPAOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","51.3%","51.3%","","","","mfem::PABilinearFormExtension::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","25.9%","25.9%","","","","mfem::MassIntegrator::AddMultPA(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","28.8%","28.8%","","","","mfem::hydrodynamics::QUpdate::UpdateQuadratureData(mfem::Vector const&, mfem::hydrodynamics::QuadratureData&)"
"0","<0.1%","2.7%","2.7%","","","","mfem::hydrodynamics::ForcePAOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","4.1%","4.1%","0.2%","","","mfem::hydrodynamics::LagrangianHydroOperator::SolveEnergy(mfem::Vector const&, mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","1.7%","1.7%","","","","mfem::hydrodynamics::ForcePAOperator::MultTranspose(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","7.6%","7.6%","","","","mfem::hydrodynamics::LagrangianHydroOperator::GetTimeStepEstimate(mfem::Vector const&) const"
