"depth","Self","Total","Child","MPI","Overhead","Regions","Function"
"0","71.1%","71.1%","","71.1%","","","MPI_Allreduce"
"0","10.1%","10.1%","","10.1%","","","MPI_Waitall"
"0","8.1%","8.1%","","8.1%","","","MPI_Waitany"
"0","5.3%","5.3%","","5.3%","","","MPI_Isend"
"0","3.5%","3.5%","","3.5%","","","MPI_Irecv"
"0","0.3%","0.3%","","","","","mfem::PAMassApply(int, int, int, int, mfem::Array<double"
"0","0.2%","0.2%","","0.2%","","","MPI_Barrier"
"0","0.1%","4.5%","4.4%","4.4%","","","void mfem::GroupCommunicator::BcastBegin<double>(double*, int) const"
"0","0.1%","0.1%","","0.1%","","","MPI_Finalize"
"0","0.1%","4.5%","4.4%","4.4%","","","void mfem::GroupCommunicator::ReduceBegin<double>(double const*) const"
"0","<0.1%","97.8%","97.7%","96.7%","","","mfem::CGSolver::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","","","","","__kernel_clock_gettime"
"0","<0.1%","<0.1%","","","","","mfem::ElementRestriction::MultTranspose(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","0.1%","<0.1%","","","","double mfem::kernels::CalcSingularvalue<3>(double const*, int)"
"0","<0.1%","<0.1%","","","","","mfem::ElementRestriction::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","","","","","mfem::add(mfem::Vector const&, double, mfem::Vector const&, mfem::Vector&)"
"0","<0.1%","8.2%","8.1%","8.1%","","","void mfem::GroupCommunicator::BcastEnd<double>(double*, int) const"
"0","<0.1%","<0.1%","","","","","__acos_finite"
"0","<0.1%","<0.1%","","","","","mfem::Vector::operator*(mfem::Vector const&) const"
"0","<0.1%","<0.1%","","","","","mfem::D2QGrad(mfem::FiniteElementSpace const&, mfem::DofToQuad const*, mfem::Vector const&, mfem::Vector&)"
"0","<0.1%","<0.1%","","","","","void mfem::hydrodynamics::ForceMultTranspose3D<3, 3, 4, 2>(int, mfem::Array<double"
"0","<0.1%","4.5%","4.5%","4.4%","","","mfem::ConformingProlongationOperator::MultTranspose(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","10.2%","10.1%","10.1%","","","void mfem::GroupCommunicator::ReduceEnd<double>(double*, int, void (*)(mfem::GroupCommunicator::OpData<double>)) const"
"0","<0.1%","<0.1%","","","","","void mfem::GroupCommunicator::Sum<double>(mfem::GroupCommunicator::OpData<double>)"
"0","<0.1%","0.2%","0.1%","","","","void mfem::hydrodynamics::QUpdateBody<3>(int, int, int, int, bool, bool, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, double*, double*, double const*, double const*, double const*, double const*, double const*, double const*, double const*, double*, double*)"
"0","<0.1%","0.4%","0.4%","","","","mfem::PABilinearFormExtension::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","4.6%","4.5%","4.4%","","","mfem::ConformingProlongationOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","","","","","mfem::Vector::operator=(double)"
"0","<0.1%","<0.1%","","","","","void mfem::hydrodynamics::ForceMult3D<3, 3, 4, 2>(int, mfem::Array<double"
"0","<0.1%","12.6%","12.6%","12.0%","","","mfem::RAPOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Scan"
"0","<0.1%","0.3%","0.3%","","","","mfem::hydrodynamics::QUpdate::UpdateQuadratureData(mfem::Vector const&, mfem::hydrodynamics::QuadratureData&)"
"0","<0.1%","<0.1%","<0.1%","","","","double const* mfem::GroupCommunicator::ReduceGroupFromBuffer<double>(double const*, double*, int, int, void (*)(mfem::GroupCommunicator::OpData<double>)) const"
"0","<0.1%","<0.1%","","","","","cos"
"0","<0.1%","<0.1%","","","","","__GI__IO_file_sync"
"0","<0.1%","95.4%","95.4%","94.1%","","","mfem::hydrodynamics::LagrangianHydroOperator::SolveVelocity(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","<0.1%","","","","mfem::Vector::operator=(mfem::Vector const&)"
"0","<0.1%","<0.1%","","","","","mfem::ConstrainedOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","<0.1%","","","","mfem::kernels::internal::KernelVector3S(int const&, double const&, double const&, double const&, double&, double&, double&)"
"0","<0.1%","<0.1%","<0.1%","","","","mfem::OperatorJacobiSmoother::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","","","","","memcpy"
"0","<0.1%","<0.1%","","","","","memcpy@plt"
"0","<0.1%","<0.1%","","","","","mfem::D2QValues(mfem::FiniteElementSpace const&, mfem::DofToQuad const*, mfem::Vector const&, mfem::Vector&)"
"0","<0.1%","<0.1%","","","","","mfem::QuadratureInterpolator::Derivatives(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","","","","","mfem::SparseMatrix::AddMult(mfem::Vector const&, mfem::Vector&, double) const"
"0","<0.1%","<0.1%","<0.1%","","","","clock_gettime"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Isend@plt"
"0","<0.1%","<0.1%","","","","","__hypot_finite"
"0","<0.1%","<0.1%","<0.1%","","","","mfem::hydrodynamics::ForcePAOperator::MultTranspose(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","26.7%","26.7%","25.8%","","","mfem::hydrodynamics::MassPAOperator::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","","","","","mfem::L2ElementRestriction::Mult(mfem::Vector const&, mfem::Vector&) const"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Allreduce@plt"
"0","<0.1%","<0.1%","<0.1%","","","","mfem::kernels::internal::Reduce3S(int const&, double&, double&, double&, double&, double&, double&, double&, double&, double&, double&, double&, double&, double&)"
"0","<0.1%","<0.1%","<0.1%","","","","hypot"
"0","<0.1%","<0.1%","","","","","mfem::GridFunction::MakeRef(mfem::FiniteElementSpace*, mfem::Vector&, int)"
"0","<0.1%","100.0%","100.0%","98.4%","","","main"
"0","<0.1%","<0.1%","","<0.1%","","","MPI_Bcast"
"0","<0.1%","<0.1%","","","","","mfem::hydrodynamics::MassPAOperator::MassPAOperator(mfem::ParFiniteElementSpace&, mfem::IntegrationRule const&, mfem::Coefficient&)"
